,product_id,name,props,is_reference,reference_id,время работы
0,0007302f2fe1d54d,"Классическая сплит-система ROYAL CLIMA PANDORA RC-PD28HN, для комнат до 28 кв.метра, настенный кондиционер для дома/офиса, комплект","['Класс  энергоэффективности\tA', 'Мощность  кондиционера\t9 BTU', 'Уровень  шума внутреннего блока\t21.5 дБ - 38 дБ', 'Режим   работы\tохлаждение / обогрев', 'Фильтр тонкой очистки\tесть', 'Доп.   режимы турбо, экорежим, осушение, ночной, вентиляция']",False,f497219eb0077f84,0
1,000740b6c1cc763e,"Смартфон Xiaomi Redmi Note 10S NFC 6/128 ГБ RU, белоснежная галька","['Экран\t6.43"" (2400x1080) AMOLED 60 Гц', '4 камеры 8 МП, 64 МП, 2 МП, 2 МП', 'Беспроводные интерфейсы инфракрасный порт (IRDA), Bluetooth, Wi-Fi, NFC', 'Встроенная   память\t128 ГБ', 'Оперативная   память\t6 ГБ', 'Аккумулятор\t5000  мА·ч', 'MediaTek   Helio G95', 'SIM-карты\t2  (nano SIM)', 'Операционная  система\tAndroid 11', 'Степень  защиты\tIP53', 'Вес\t179  г', 'Стандарт   связи 2G, 4G LTE, 3G']",True,,0
2,0039af5efceac4ab,Холодильник Бирюса 118,['Мощность  замораживания  4 кг/сутки'],False,28085e941cde1639,0
3,004f2158acb8165c,ASUS TUF-GTX1660S-O6G-GAMING Видеокарта,"['Объем  видеопамяти\t6144 МБ', 'Частота  памяти\t14002 МГц', 'Разъемы   и интерфейсы выход DVI, выход DisplayPort, выход HDMI']",False,9afe55bb4bf1e8a8,0
4,005cddb29e1677ec,"Кофемашина Saeco Lirika One Touch Cappuccino, серебристый","['Приготовление  капучино\tавтоматическое', 'Материал   корпуса\tпластик', 'Настройки крепость кофе, объем порции горячей воды', 'Доп.  функции автоматическая декальцинация, подача горячей воды, автоотключение при неиспользовании']",False,1f21918ceb5d345c,0
5,0083737f904dd9a9,Фен LUMME LU-1058,"['Мощность\t1400 Вт', 'Насадки\tконцентратор', 'Вес\t350  г', 'Особенности   складная ручка, защита от перегрева, петля для подвешивания']",True,,0
6,0083dddef6bc6503,Lenovo 62A8KAT1EU Монитор,['Яркость\t250   кд/м²; контрастность: 1000:1'],False,8f9c8fcf9cb2862c,0
7,0089cfc44012ac3c,Наушники Xiaomi Buds 3 Black,"['Конструкция\tвнутриканальные', 'Конструктивные  особенности\tмикрофон', 'Тип  устройства\tбеспроводные TWS-наушники']",False,f4d135a1d7a3b3a0,0
8,00d03054afa45fdf,Газовая Плита Гефест ПГ 700-02 Газовая Плита Гефест ПГ 700-02,"['Материал рабочей поверхности\tэмалированная сталь', 'Настольная\tда', 'ШхВхГ\t50х10х37.40  см']",False,116c9e6140857b4b,0
9,00d094e2dbd04434,"Ноутбук Lenovo IdeaPad L340-15API 81LW00A3RK 300U/8GB/128GB SSD/Radeon Vega 3/15.6"" Full HD/Wi-Fi/B/cam/no ОС/чёрный","['Процессор\tAMD   Athlon 300U (2x2.40 ГГц)', 'Видеокарта AMD Radeon Vega 3, встроенная']",False,db2864373795ea53,0
10,00d72c9fe99ed892,Видеокарта MSI PCI-E GeForce GTX 1050 Ti 4GT OC nVidia GeForce GTX 1050TI 4096Mb 128bit GDDR5 1341/7008 DVIx1/HDMIx1/DPx1/HDCP Ret,"['Комплектация\tRetail', 'Область применения\tигровая', 'Тип памяти\tGDDR5', 'Техпроцесс\t14   нм', 'Количество   поддерживаемых мониторов\t3', 'Объем  видеопамяти\t4096 МБ', 'Частота  памяти\t7008 МГц', 'Шина   обмена с памятью\t128 бит', 'Тип   подключения\tPCI Express 3.0']",False,31862a08efb59198,0
11,00dd96a6503b1ade,"50"" Телевизор Samsung UE50AU7002U 2022, черный","['Разъемы и интерфейсы слот CI/CI+, вход HDMI x 2, Ethernet - RJ-45']",False,2215bb3c753bac5a,0
