product_id,name,props,is_reference,reference_id,время работы
0007302f2fe1d54d,"Классическая сплит-система ROYAL CLIMA PANDORA RC-PD28HN, для комнат до 28 кв.метра, настенный кондиционер для дома/офиса, комплект","['Класс  энергоэффективности\tA', 'Мощность  кондиционера\t9 BTU', 'Уровень  шума внутреннего блока\t21.5 дБ - 38 дБ', 'Режим   работы\tохлаждение / обогрев', 'Фильтр тонкой очистки\tесть', 'Доп.   режимы турбо, экорежим, осушение, ночной, вентиляция']",False,0,0
0039af5efceac4ab,Холодильник Бирюса 118,['Мощность  замораживания  4 кг/сутки'],False,1,0
004f2158acb8165c,ASUS TUF-GTX1660S-O6G-GAMING Видеокарта,"['Объем  видеопамяти\t6144 МБ', 'Частота  памяти\t14002 МГц', 'Разъемы   и интерфейсы выход DVI, выход DisplayPort, выход HDMI']",False,2,0
005cddb29e1677ec,"Кофемашина Saeco Lirika One Touch Cappuccino, серебристый","['Приготовление  капучино\tавтоматическое', 'Материал   корпуса\tпластик', 'Настройки крепость кофе, объем порции горячей воды', 'Доп.  функции автоматическая декальцинация, подача горячей воды, автоотключение при неиспользовании']",False,3,0
0083dddef6bc6503,Lenovo 62A8KAT1EU Монитор,['Яркость\t250   кд/м²; контрастность: 1000:1'],False,4,0
0089cfc44012ac3c,Наушники Xiaomi Buds 3 Black,"['Конструкция\tвнутриканальные', 'Конструктивные  особенности\tмикрофон', 'Тип  устройства\tбеспроводные TWS-наушники']",False,5,0
00d03054afa45fdf,Газовая Плита Гефест ПГ 700-02 Газовая Плита Гефест ПГ 700-02,"['Материал рабочей поверхности\tэмалированная сталь', 'Настольная\tда', 'ШхВхГ\t50х10х37.40  см']",False,6,0
00d094e2dbd04434,"Ноутбук Lenovo IdeaPad L340-15API 81LW00A3RK 300U/8GB/128GB SSD/Radeon Vega 3/15.6"" Full HD/Wi-Fi/B/cam/no ОС/чёрный","['Процессор\tAMD   Athlon 300U (2x2.40 ГГц)', 'Видеокарта AMD Radeon Vega 3, встроенная']",False,7,0
00d72c9fe99ed892,Видеокарта MSI PCI-E GeForce GTX 1050 Ti 4GT OC nVidia GeForce GTX 1050TI 4096Mb 128bit GDDR5 1341/7008 DVIx1/HDMIx1/DPx1/HDCP Ret,"['Комплектация\tRetail', 'Область применения\tигровая', 'Тип памяти\tGDDR5', 'Техпроцесс\t14   нм', 'Количество   поддерживаемых мониторов\t3', 'Объем  видеопамяти\t4096 МБ', 'Частота  памяти\t7008 МГц', 'Шина   обмена с памятью\t128 бит', 'Тип   подключения\tPCI Express 3.0']",False,8,0
00dd96a6503b1ade,"50"" Телевизор Samsung UE50AU7002U 2022, черный","['Разъемы и интерфейсы слот CI/CI+, вход HDMI x 2, Ethernet - RJ-45']",False,9,0
00fa8419a6d81d79,Холодильник Nord NR 506 W,"['Класс энергопотребления A+', 'Особенности конструкции перевешиваемые двери', 'Размораживание холодильной камеры капельная система', 'Общий  объем 60 л']",False,10,0
0105fb7b4dd8634b,Видеокарта Sinotex Ninja GeForce GT 740 2 Gb (NH74NP025F),"['Техпроцесс\t28 нм', 'Максимальное   разрешение\t4096x2160', 'Шина   обмена с памятью\t128 бит', 'Частота   памяти\t5000 МГц']",False,11,0
013c2a3c1dfe4b24,"Принтер Kyocera FS-1040 <Лазерный, 20стр/мин, 600dpi, USB2.0, A4",['Назначение\tдля   небольшого офиса'],False,12,0
013d55651426863d,"ABC Видеокарта MSI Radeon RX 6500 XT MECH 2X 4G OC (Radeon RX 6500 XT, 4ГБ GDDR6, HDMI, DP) (PCI-E) (ret)","['Комплектация\tRetail', 'Объем   видеопамяти\t4096 МБ', 'Частота   памяти\t18000 МГц', 'Разъемы  и интерфейсы выход DisplayPort, выход HDMI']",False,13,0
013d9f49a19db898,"Водонагреватель thermex ic 10 u, накопительный, 1.5квт, 10л, белый [эдэб01497]",['Время   нагрева\t28 мин'],False,14,0
015f996021a0a530,"Gembird Акустическая система стерео Gembird SPK-203, 2x3Вт, черный (ret)","['Диапазон   частот 80 - 20000 Гц', 'Материал   корпуса колонок', 'Однополосные   колонки']",False,15,0
01613fb413f4ccce,Xiaomi Mi Robot Vacuum Mop 2 Pro White [BHR5044EU] Робот пылесос,"['Объем  контейнера для пыли\t0.45 л', 'Работа  от аккумулятора\tдо 110 мин']",False,16,0
0165ad28a6322088,Krona KAMAYA 45 BI,"['Тип\tузкая', 'Ширина\t44.9 см', 'Третий  уровень загрузки\tесть', '3-й   разбрызгиватель\tесть', 'Таймер  отсрочки запуска\tесть', 'Число  программ 8, класс мойки: A']",False,17,0
01a896d8507b1519,Кофемашина Beko CEG5331X (нержавеющая сталь),"['Приготовление   капучино\tавтоматическое', 'Тип используемого кофе\tзерновой', 'Настройки температура кофе, объем порции горячей воды', 'Доп.  функции автоотключение при неиспользовании, автоматическая декальцинация, подача горячей воды', 'Особенности   конструкции индикатор включения, индикатор уровня воды, съемный лоток для сбора капель, контейнер для отходов, дисплей']",False,18,0
01c4a011efa3ffc4,Сплит система Jax ACN-09HE,['Мощность  охлаждения\t2500 Вт / обогрева: 2500 Вт'],False,19,0
01c7e6328de0cfc6,"Беспроводные наушники Apple AirPods 3, белый","['Конструкция\tвкладыши   (открытые)', 'Время работы\t6 ч', 'Тип  излучателей\tдинамические', 'Количество микрофонов\t4', 'Подключение\tBluetooth   5.0', 'Тип зарядки кейса беспроводная зарядка, Lightning']",False,20,6
01ca9b62958f93e1,F840-100 Melitta Caffeo Barista T Smart,"['Тип используемого кофе\tмолотый / зерновой', 'Материал корпуса\tпластик', 'Приготовление  капучино\tавтоматическое', 'Настройки  температура кофе, объем порции горячей воды, жесткость воды, крепость кофе']",False,21,0
01e2d8af90f8a150,"Монитор 23.8"" Lenovo C24-20 black (WVA, 1920x1080, 16:9, 178/178, 250cd/m2, 1000:1, 4ms, VGA, HDMI) (62A8KAT1EU)",['Яркость\t250 кд/м²; контрастность: 1000:1'],False,4,0
0213b4e3f71ad7c2,Индукционная плитка Gorenje ICE2000SP,"['Особенности конструкции\tдисплей', 'Материал рабочей поверхности\tстеклокерамика', 'Доп.  функции\tтаймер']",False,22,0
021a79af196c9475,"Видеокарта MSI GeForce RTX 3050 8 ГБ (RTX 3050 VENTUS 2X 8G OC), rev. 2.0 (LHR)","['Частота видеопроцессора\t1807 МГц', 'Техпроцесс\t8 нм', 'Тип памяти\tGDDR6', 'Комплектация\tRetail', 'Разъемы и интерфейсы выход HDMI, выход DisplayPort x 3', 'Разъем   дополнительного питания\t8 pin', 'Тип  подключения\tPCI Express 4.0', 'Частота  памяти\t14000 МГц', 'TDP\t130   Вт', 'Поддержка  технологий поддержка HDCP, поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей']",False,23,0
021c38f14059b080,Видеокарта Gigabyte PCI-E 4.0 GV-N3080GAMING OC-12GD LHR NVIDIA GeForce RTX 3080 12288Mb 320 GDDR6X 1755/19000 HDMIx2 DPx3 HDCP Ret,"['Шина обмена с памятью\t384 бит', 'Область применения\tигровая', 'Техпроцесс\t8 нм', 'Максимальное   разрешение\t7680x4320', 'TDP\t350  Вт', 'Разъемы   и интерфейсы выход DisplayPort x 3, выход HDMI']",False,24,0
022c4ffba27108e2,"Беспроводные наушники Xiaomi Redmi Buds 3 Pro, серый ледник","['Активное шумоподавление (ANC)\tесть', 'Импеданс\t32  Ом', 'Подключение\tBluetooth  5.2', 'Количество  микрофонов\t3', 'Время  работы от аккумулятора в кейсе\t28 ч', 'Степень   защиты\tIPX4', 'Диапазон  воспроизводимых частот\t20-20000 Гц', 'Тип   зарядки кейса USB Type-C, беспроводная зарядка']",False,25,от
022d34f6e6443cc7,TP-Link ER605 TL-R605 SafeStream гигабитный Multi-WAN VPN маршрутизатор,"['Возможность установки в стойку\tесть', 'Количество   WAN-портов\t3', 'Особенности\tUSB-порт', 'Количество   LAN-портов\t1', 'Сетевые стандарты IEEE 802.3x, IEEE 802.3ab, IEEE 802.3u, IEEE 802.1q (VLAN)', '1  гигабитный порт WAN, 3 гигабитных порта WAN/LAN, 1 гигабитный порт LAN; количество одновременных сессий кабель Ethernet RJ45, 25000 (TL-R605) и 30000 (ER605); комплектация: адаптер питания, руководство по быстрой настройке']",False,26,0
0240c3be4a47dc1e,Korting Посудомоечная машина полновстраиваемая KORTING KDI 45570,"['3-й   разбрызгиватель\tесть', 'Индикация на полу\tлуч', 'Вместимость\t10 комплектов', 'Тип защиты от протечек\tполная', 'Ширина\t45  см', 'Таймер  отсрочки запуска\tесть', 'Число   программ 8, класс мойки: A']",False,27,0
0279f00096211377,Wi-Fi роутер/точка доступа TP-LINK Archer C54,"['Частотный   диапазон устройств Wi-Fi\t2.4 / 5 ГГц (одновременная работа)', 'Макс.   скорость беспроводного соединения 1167 Мбит/с', 'Стандарт  Wi-Fi 802.11 b (Wi-Fi 1), g (Wi-Fi 3), ac (Wi-Fi 5), n (Wi-Fi 4), a (Wi-Fi 2)']",False,28,0
0286b2e3b87abe15,"PCI-E x16 GeForce GT 1030 ASUS GT1030-SL-2G-BRK, 2GB DDR5 (RTL)","['Разъемы  и интерфейсы выход HDMI, выход DVI', 'Комплектация\tRetail', 'Тип подключения\tPCI Express 3.0', 'Область   применения\tигровая', 'Техпроцесс\t14   нм', 'TDP\t30   Вт', 'Максимальное   разрешение\t4096x2160', 'Шина  обмена с памятью\t64 бит']",False,29,0
028be720c37aae99,"ASUS Монитор 24"" ASUS VA24DQLB (90LM0541-B01370)","['Тип   матрицы\tIPS', 'Экран\t1920x1080   (16:9)', 'Покрытие экрана\tантибликовое']",False,30,0
0295babfe47a46b9,Samsung SM-A336E Galaxy A33 5G 128 6Gb черный SM-A336EZKGMEA,"['Степень   защиты\tIP67', 'Экран\t6.4""  (2400x1080) Super AMOLED 90 Гц', 'Встроенная   память\t128 ГБ', 'Вес\t186   г', 'Операционная   система\tAndroid 12', 'Стандарт  связи 5G, 2G, 4G LTE, 3G', '4   камеры 5 МП, 48 МП, 8 МП, 2 МП']",False,31,0
0298922108dfae57,Видеокарта MSI PCI-E 4.0 RTX 3070 Ti GAMING X TRIO 8G NV RTX3070TI 8192Mb 256 GDDR6X 1830/19000/HDMI,"['TDP\t310 Вт', 'Техпроцесс\t8 нм', 'Частота  видеопроцессора\t1830 МГц', 'Тип   памяти\tGDDR6X', 'Разъем   дополнительного питания\t8 pin + 8 pin', 'Тип   подключения\tPCI Express 4.0', 'Количество  поддерживаемых мониторов\t4', 'Объем  видеопамяти\t8192 МБ', 'Шина  обмена с памятью\t256 бит', 'Разъемы   и интерфейсы выход HDMI, выход DisplayPort x 3']",False,32,0
02a4217e7281bcbd,"Беспроводные наушники Samsung Galaxy Buds2 RU, черный","['Тип зарядки кейса\tбеспроводная зарядка', 'Конструкция\tвнутриканальные', 'Количество микрофонов\t3', 'Активное   шумоподавление (ANC)\tесть', 'Вес\t41.2   г', 'Степень   защиты\tIPX2', 'Время  работы от аккумулятора в кейсе\t29 ч']",False,33,от
02aa2dcbe4ef2839,Газовая плита BEKO FSS 53000 DW,"['Управление\tмеханическое', 'Газ-контроль\tконфорок', 'Гриль\tэлектрический', 'Объем  духовки\t60 л', 'Доп.   функции\tтермостат', 'Тип   духовки\tэлектрическая', 'Максимальная   температура в духовке\t250 °C', 'Материал   рабочей поверхности\tэмалированная сталь']",False,34,0
02c90cd809fafba4,"Микроволновая печь SAMSUNG GE88SUW/BW, объем 23 л, мощность 800 Вт, гриль, электронное управление, белая","['Переключатели\tкнопочные', 'Мощность  микроволн\t800 Вт', 'ШхВхГ\t48.90х27.50х36  см', 'Объем\t23  л', 'Особенности блокировка от детей, кнопка +30 секунд, подсветка камеры, дисплей', 'Режимы работы гриль, микроволны + гриль, разморозка']",False,35,0
02c9853e1de1d245,Многофункциональное устройство HP Color LaserJet Pro M479fdn (W1A79A),"['Скорость\t27 стр/мин (цветн. А4)', 'Макс. размер отпечатка\t216 × 356 мм', 'Особенности\tавтоматическая двусторонняя печать', 'Интерфейсы AirPrint, USB, Ethernet (RJ-45)', 'Цветной  ЖК-дисплей\tда', 'Макс.   формат печати\tA4 (210 × 297 мм)', 'Функции   копирование, отправка изображения по e-mail, сканирование']",False,36,0
