,product_id,name,props,is_reference,reference_id
0,0007302f2fe1d54d,"Классическая сплит-система ROYAL CLIMA PANDORA RC-PD28HN, для комнат до 28 кв.метра, настенный кондиционер для дома/офиса, комплект",класс  энергоэффективности a мощность  кондиционера 9 btu уровень  шума внутреннего блока 21.5 дб - 38 дб режим   работы охлаждение / обогрев фильтр тонкой очистки есть доп.   режимы турбо экорежим осушение ночной вентиляция,False,f497219eb0077f84
1,000740b6c1cc763e,"Смартфон Xiaomi Redmi Note 10S NFC 6/128 ГБ RU, белоснежная галька","экран 6.43"" (2400x1080) amoled 60 гц 4 камеры 8 мп 64 мп 2 мп 2 мп беспроводные интерфейсы инфракрасный порт (irda) bluetooth wi-fi nfc встроенная   память 128 гб оперативная   память 6 гб аккумулятор 5000  ма·ч mediatek   helio g95 sim-карты 2  (nano sim) операционная  система android 11 степень  защиты ip53 вес 179  г стандарт   связи 2g 4g lte 3g",True,000740b6c1cc763e
2,0039af5efceac4ab,Холодильник Бирюса 118,мощность  замораживания  4 кг/сутки,False,28085e941cde1639
3,004f2158acb8165c,ASUS TUF-GTX1660S-O6G-GAMING Видеокарта,объем  видеопамяти 6144 мб частота  памяти 14002 мгц разъемы   и интерфейсы выход dvi выход displayport выход hdmi,False,9afe55bb4bf1e8a8
4,005cddb29e1677ec,"Кофемашина Saeco Lirika One Touch Cappuccino, серебристый",приготовление  капучино автоматическое материал   корпуса пластик настройки крепость кофе объем порции горячей воды доп.  функции автоматическая декальцинация подача горячей воды автоотключение при неиспользовании,False,1f21918ceb5d345c
5,0083737f904dd9a9,Фен LUMME LU-1058,мощность 1400 вт насадки концентратор вес 350  г особенности   складная ручка защита от перегрева петля для подвешивания,True,0083737f904dd9a9
6,0083dddef6bc6503,Lenovo 62A8KAT1EU Монитор,яркость 250   кд/м²; контрастность: 1000:1,False,8f9c8fcf9cb2862c
7,0089cfc44012ac3c,Наушники Xiaomi Buds 3 Black,конструкция внутриканальные конструктивные  особенности микрофон тип  устройства беспроводные tws-наушники,False,f4d135a1d7a3b3a0
8,00d03054afa45fdf,Газовая Плита Гефест ПГ 700-02 Газовая Плита Гефест ПГ 700-02,материал рабочей поверхности эмалированная сталь настольная да шхвхг 50х10х37.40  см,False,116c9e6140857b4b
9,00d094e2dbd04434,"Ноутбук Lenovo IdeaPad L340-15API 81LW00A3RK 300U/8GB/128GB SSD/Radeon Vega 3/15.6"" Full HD/Wi-Fi/B/cam/no ОС/чёрный",процессор amd   athlon 300u (2x2.40 ггц) видеокарта amd radeon vega 3 встроенная,False,db2864373795ea53
10,00d72c9fe99ed892,Видеокарта MSI PCI-E GeForce GTX 1050 Ti 4GT OC nVidia GeForce GTX 1050TI 4096Mb 128bit GDDR5 1341/7008 DVIx1/HDMIx1/DPx1/HDCP Ret,комплектация retail область применения игровая тип памяти gddr5 техпроцесс 14   нм количество   поддерживаемых мониторов 3 объем  видеопамяти 4096 мб частота  памяти 7008 мгц шина   обмена с памятью 128 бит тип   подключения pci express 3.0,False,31862a08efb59198
11,00dd96a6503b1ade,"50"" Телевизор Samsung UE50AU7002U 2022, черный",разъемы и интерфейсы слот ci/ci+ вход hdmi x 2 ethernet - rj-45,False,2215bb3c753bac5a
12,00fa8419a6d81d79,Холодильник Nord NR 506 W,класс энергопотребления a+ особенности конструкции перевешиваемые двери размораживание холодильной камеры капельная система общий  объем 60 л,False,5d3fa3ae27980116
13,0105fb7b4dd8634b,Видеокарта Sinotex Ninja GeForce GT 740 2 Gb (NH74NP025F),техпроцесс 28 нм максимальное   разрешение 4096x2160 шина   обмена с памятью 128 бит частота   памяти 5000 мгц,False,d0c64830aa5b693c
14,01378fa92f901df5,"15.6"" Ноутбук Lenovo IdeaPad 3 15ARE05 1920x1080, AMD Ryzen 5 4500U 2.3 ГГц, SSD 256 ГБ, AMD Radeon Graphics, DOS, 81W40033RK, Platinum Grey","экран 15.6""  (1920x1080) ips процессор amd   ryzen 5 4500u (6x2.30 ггц) время   работы от аккумулятора 14 ч операционная  система dos память  ram 4 гб (2666 мгц) ssd 256 гб видеокарта   amd radeon graphics встроенная",True,01378fa92f901df5
15,013c2a3c1dfe4b24,"Принтер Kyocera FS-1040 <Лазерный, 20стр/мин, 600dpi, USB2.0, A4",назначение для   небольшого офиса,False,b06b981adc52c752
16,013d55651426863d,"ABC Видеокарта MSI Radeon RX 6500 XT MECH 2X 4G OC (Radeon RX 6500 XT, 4ГБ GDDR6, HDMI, DP) (PCI-E) (ret)",комплектация retail объем   видеопамяти 4096 мб частота   памяти 18000 мгц разъемы  и интерфейсы выход displayport выход hdmi,False,5cd2febf56f0e483
17,013d9f49a19db898,"Водонагреватель thermex ic 10 u, накопительный, 1.5квт, 10л, белый [эдэб01497]",время   нагрева 28 мин,False,d4fe7179ce05fe85
18,015f996021a0a530,"Gembird Акустическая система стерео Gembird SPK-203, 2x3Вт, черный (ret)",диапазон   частот 80 - 20000 гц материал   корпуса колонок однополосные   колонки,False,a8d71ac2f5a72530
19,01601abb0bf5133d,"Микроволновая печь Hyundai HYM-D2071, серебристый",объем 20 л переключатели кнопочные мощность  микроволн 700 вт внутреннее  покрытие камеры эмаль диаметр   поддона 245 мм режимы   работы разморозка шхвхг 45.10х28.50х32.60  см особенности  функция задержки пуска подсветка камеры дисплей блокировка от детей утапливаемые переключатели доп.   режимы программирование процесса приготовления автоматическое приготовление автоматическая разморозка звуковой сигнал отключения ускоренный разогрев,True,01601abb0bf5133d
